"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"NC4","0603","667.441mil","973.945mil","675mil","973.945mil","695mil","973.945mil","T","180.00","5K"
"NC3","0603","852.441mil","973.945mil","860mil","973.945mil","880mil","973.945mil","T","180.00","5K"
"NC2","0603","1402.441mil","973.945mil","1410mil","973.945mil","1430mil","973.945mil","T","180.00","2K"
"NC1","0603","1587.441mil","973.945mil","1595mil","973.945mil","1615mil","973.945mil","T","180.00","3K"
"C3","0603","1022.441mil","479mil","1030mil","479mil","1050mil","479mil","T","180.00","1pF"
"C1","1206","705mil","680mil","705mil","680mil","705mil","742.992mil","T","270.00","10uF 16V"
"C2","1206","845mil","680mil","845mil","680mil","845mil","742.992mil","T","270.00","10uF 16V"
"C4","0805","1195mil","675mil","1195mil","675mil","1195mil","643.504mil","T","90.00","10uF 16V"
"C5","0603","1290mil","672.441mil","1290mil","680mil","1290mil","700mil","T","270.00","100nF 50V"
"C6","0603","1402.559mil","887.945mil","1395mil","887.945mil","1375mil","887.945mil","T","0.00","100nF 50V"
"C8","0603","667.559mil","887.945mil","660mil","887.945mil","640mil","887.945mil","T","360.00","100nF 50V"
"C10","1206","1555mil","445mil","1545mil","445mil","1607.992mil","445mil","T","180.00","2.2uF"
"C11","0603","1527.441mil","305mil","1535mil","315mil","1555mil","305mil","T","180.00","10nF"
"C12","0603","1167.559mil","479mil","1160mil","479mil","1140mil","479mil","T","360.00","10nF"
"C13","0603","1022.441mil","135mil","1030mil","135mil","1050mil","135mil","T","180.00","1pF"
"D1","SMA","565mil","675mil","565mil","675mil","565mil","596.26mil","T","90.00","M7"
"P1","POWER-x2/5.08","230mil","865mil","230mil","765mil","230mil","765mil","T","0.00","Header 2"
"P2","HDR1X4","1885mil","610mil","1885mil","760mil","1885mil","760mil","T","270.00","Header 4"
"P3","POWER-x2/5.08","230mil","290mil","230mil","190mil","230mil","190mil","T","0.00","Header 2"
"R1","RES TAP","1485mil","1140mil","1385mil","1090mil","1385mil","1090mil","T","0.00","Res Tap"
"R2","RES TAP","750mil","1140mil","650mil","1090mil","650mil","1090mil","T","0.00","Res Tap"
"R4","0603","1730mil","432.441mil","1730mil","440mil","1730mil","460mil","T","270.00","1K"
"R5","0603","1022.559mil","220mil","1015mil","220mil","995mil","220mil","T","0.00","1K"
"R6","0603","1527.441mil","135mil","1535mil","135mil","1555mil","135mil","T","180.00","1K"
"R7","0603","1022.559mil","310mil","1015mil","310mil","995mil","310mil","T","360.00","1K"
"R9","0603","1527.441mil","220mil","1535mil","220mil","1555mil","220mil","T","180.00","100K"
"R11","0603","1167.441mil","393mil","1175mil","393mil","1195mil","393mil","T","180.00","10K"
"R13","0603","1022.441mil","393mil","1030mil","393mil","1050mil","393mil","T","180.00","30K"
"U1","SOT89","1030mil","682.284mil","1030mil","700mil","970.945mil","633.071mil","T","90.00","HT7550-1"
"U2","SOIC8-1.27","1267.362mil","215mil","1165mil","290mil","1165mil","290mil","T","0.00","OPA2348AIDR"
"U3","SOIC8-1.27","1522.362mil","680mil","1420mil","755mil","1420mil","755mil","T","360.00","OPA2348AIDR"
"R8","2512","775mil","265mil","775mil","265mil","775mil","142.953mil","T","90.00","5mR"
"R16","2512","595mil","265mil","595mil","265mil","595mil","142.953mil","T","90.00","5mR"
"R17","0603","1317.559mil","393mil","1310mil","393mil","1290mil","393mil","T","0.00","0"

